headlines,headline_text
"['railways', 'tries', 'new', 'system', 'at', 'delhi', 'station', 'to', 'reduce', 'congestion']",railways tries new system at delhi station to reduce congestion
"['coronavirus', 'outbreak', 'tools', 'that', 'let', 'you', 'work', 'study', 'from', 'home']",coronavirus outbreak tools that let you work study from home
"['coronavirus', '44', 'indians', 'evacuated', 'from', 'iran', 'to', 'arrive', 'in', 'jaisalmer']",coronavirus 44 indians evacuated from iran to arrive in jaisalmer
"['national', 'pharmaceutical', 'pricing', 'authority', 'seeks', 'drug', 'stock', 'pricing', 'data']",national pharmaceutical pricing authority seeks drug stock pricing data
"['dgca', 'may', 'soon', 'liberalise', 'criteria', 'for', 'drone', 'pilot', 'training']",dgca may soon liberalise criteria for drone pilot training
"['dow', 'sinks', '1700', 'pts', 'at', 'open', 'trading', 'halts', 'for', '15', 'minutes', 'after', 'sp', '500', 'falls', '7']",dow sinks 1700 pts at open trading halts for 15 minutes after sp 500 falls 7
"['airlines', 'reach', 'out', 'to', 'centre', 'for', 'bailout', 'from', 'covid', '19', 'impact']",airlines reach out to centre for bailout from covid 19 impact
"['spicejet', 'inks', 'pact', 'with', 'gmr', 'hyderabad', 'aviation', 'sez']",spicejet inks pact with gmr hyderabad aviation sez
"['petrol', 'diesel', 'get', 'slightly', 'cheaper', 'today', 'may', 'see', 'huge', 'price', 'cut', 'next', 'week', 'report']",petrol diesel get slightly cheaper today may see huge price cut next week report
"['why', 'jyotiraditya', 'scindia', 'quit', 'congress', 'inside', 'story']",why jyotiraditya scindia quit congress inside story
"['coronavirus', 'revenue', 'of', 'indian', 'it', 'services', 'companies', 'could', 'be', 'hit', 'says', 'report']",coronavirus revenue of indian it services companies could be hit says report
"['enact', 'law', 'to', 'prevent', 'population', 'explosion', 'mp', 'demands', 'in', 'rs']",enact law to prevent population explosion mp demands in rs
"['coronavirus', 'impact', 'air', 'india', 'sale', 'deadline', 'extended', 'by', 'over', 'a', 'month']",coronavirus impact air india sale deadline extended by over a month
"['covid', '19', 'apps', 'artificial', 'intelligence', 'to', 'help', 'tackle', 'scare']",covid 19 apps artificial intelligence to help tackle scare
"['jet', 'airways', 'stock', 'hits', 'lower', 'circuit']",jet airways stock hits lower circuit
"['us', 'army', 'brought', 'coronavirus', 'epidemic', 'to', 'wuhan', 'chinese', 'diplomat']",us army brought coronavirus epidemic to wuhan chinese diplomat
"['india', 'may', 'need', '1900', 'craft', 'in', '20', 'years', 'airbus']",india may need 1900 craft in 20 years airbus
"['capitulation', 'over', 'well', 'heres', 'what', 'd', 'street', 'top', 'guns', 'advise', 'you', 'to', 'do', 'now']",capitulation over well heres what d street top guns advise you to do now
"['visa', 'suspension', 'may', 'cost', 'rs', '8500', 'cr', 'for', 'travel', 'tourism', 'aviation', 'sectors']",visa suspension may cost rs 8500 cr for travel tourism aviation sectors
"['rahul', 'gandhi', 'slams', 'govt', 'response', 'to', 'coronavirus', 'outbreak']",rahul gandhi slams govt response to coronavirus outbreak
